name,distance
Concepcion  ,22.814109015529727
Jeane  ,51.53334418209406
Shalanda  ,84.39576276128388
Sanjuana  ,39.745043588519295
Kevin  ,16.705068514181974
Ruthie  ,50.49043184424844
Olen  ,14.08383373588389
Morris  ,49.804529476994205
Kory  ,83.03832364181875
Glynis  ,67.42416753245043
Shaniqua  ,66.16417778586016
Shane  ,32.77509753376386
Ashley  ,96.6450203250176
Jerald  ,86.47548423068233
Bobbie  ,43.339975878269996
Evon  ,89.72796838946728
Velva  ,39.3875674313497
Coleen  ,66.8279827213436
Quintin  ,2.3107996022888155
Tanisha  ,35.960454765715276
Jules  ,58.10199065589997
Tameika  ,26.34944498311492
Kendall  ,86.10258614892639
Marquis  ,59.679741076154144
Adah  ,31.50460762163475
Selena  ,87.70791336524356
Enrique  ,97.40956726769673
Domenica  ,53.4061162022812
Noel  ,65.12497507692817
Bud  ,35.37844876083279
Marnie  ,93.05218310311595
Christen  ,85.5911766319278
Candy  ,54.35757870700603
Tomas  ,59.21434607421947
Minnie  ,70.74844623586964
Tarah  ,95.05646317397168
Alejandrina  ,60.37725262412048
Eura  ,0.8707108250093687
Mee  ,38.74047654431201
Annie  ,51.193342220981286
Amado  ,13.020546719654858
Allen  ,74.5064002131142
Edwina  ,6.032845778651385
Robin  ,69.41558964256603
Annamae  ,56.45741795111236
Pinkie  ,31.034550343807698
Alysa  ,98.35541444688721
Billy  ,2.0419519890364946
Hillary  ,12.643596512808198
Rufus  ,43.94280988298834
Aisha  ,0.47729033964430956
Mendy  ,82.85835741315746
Shondra  ,38.89724738482458
Maximo  ,39.193668804758886
Hilaria  ,29.73424212405058
Fidel  ,50.778891797797456
Kyle  ,18.8883705595669
Richelle  ,47.41861591325751
Nieves  ,63.07936078242031
Florentina  ,82.05058536974799
Tenesha  ,66.0868814808169
Clarita  ,20.332494695149585
Celinda  ,14.096468207563884
Joycelyn  ,29.17107543924703
Ernesto  ,87.53783972675097
Otto  ,42.06997536334498
Leora  ,41.522645456130846
Glynis  ,48.44562320236005
Carisa  ,58.8416846186406
Shasta  ,43.26115519402879
Mozella  ,83.50710504651651
Anika  ,34.76438177192714
Ailene  ,96.95515329186962
Willis  ,11.512947804968343
Sherman  ,43.63887531795051
Leona  ,89.64533407871822
Alda  ,2.2181691483591615
Randell  ,64.7963363742878
Ariana  ,71.87564904779859
Thomasena  ,83.57927774570648
Julie  ,48.2636808612843
Lyda  ,69.80330804948346
Fannie  ,97.6269229336445
Arden  ,64.80236275056896
Ignacia  ,42.17799543093677
Chris  ,19.862217944044115
Tomi  ,6.6166438939464385
Ronna  ,34.247898637522525
Alison  ,91.39133046916534
Antonietta  ,86.73189891516006
Shani  ,17.002096536282597
Jamison  ,86.43569747495668
Garry  ,56.729763283849735
Scot  ,38.62703562164833
Jule  ,15.156466766257392
Jake  ,32.77618348463803
Ronda  ,90.83401350664882
Lexie  ,75.99489700734907
Sherill  ,38.657740853586155
Leon  ,92.4047208977261
isha  ,95.51090068110514
Mendy  ,62.686584853131144
Shondra  ,26.27838918746299
Maximo  ,91.75425471991319
Hilaria  ,90.81636610608754
Fidel  ,34.09785740067793
Kyle  ,91.6688110174655
Richelle  ,30.451836384429654
Nieves  ,33.07931447025945
Florentina  ,9.194820080801813
Tenesha  ,2.7088053177392046
Clarita  ,44.77892575415991
Celinda  ,29.082788160025043
Joycelyn  ,51.21291381150049
Ernesto  ,11.34558104704807
Otto  ,69.12301974457473
Leora  ,65.19770462745402
Glynis  ,89.95169104083318
Carisa  ,38.02031956380816
Shasta  ,5.086115498195721
Mozella  ,60.594361603048064
Anika  ,66.72414858684857
Ailene  ,0.9475375207318226
Willis  ,19.885731096552373
Sherman  ,28.229450666618106
Leona  ,2.185838890386882
Alda  ,17.198337407971152
Randell  ,71.24408552208578
Ariana  ,17.242663563784298
Thomasena  ,91.00579918728316
Julie  ,60.225055907108725
Lyda  ,52.3176905167504
Fannie  ,6.9975447467758745
Arden  ,33.578925858652354
Ignacia  ,46.197177393665115
Chris  ,98.48480047779665
Tomi  ,65.77998127088172
Ronna  ,21.329937829326674
Alison  ,65.99294039699977
Antonietta  ,50.65599706640699
Shani  ,0.06246635217488361
Jamison  ,13.06163840883129
Garry  ,38.50114878158535
Scot  ,7.082594892402383
Jule  ,86.27320393622891
Jake  ,57.55468872420428
Ronda  ,59.5393090460033
Lexie  ,35.17044429387742
Sherill  ,56.669225209402704
Leon  ,53.25525948250933
