name,records,distance
Kassie  ,1,38.19812718656226
Olen  ,1,14.08383373588389
Ara  ,1,3.1792447099354137
Amado  ,1,13.020546719654858
Larhonda  ,2,101.43175379671271
Madeleine  ,1,15.556015915160303
Demarcus  ,1,22.981594778894177
Alix  ,1,76.32424813798664
Jacinto  ,1,98.7035526390096
Marnie  ,1,93.05218310311595
Alma  ,1,33.384305770764165
Patrina  ,1,56.52543918964991
Britta  ,1,81.27691370844371
Donya  ,1,48.5600637333074
Venetta  ,1,43.358804639628765
Leon  ,2,145.65998038023542
Frances  ,1,60.37296742280366
Valentina  ,1,94.75311053501888
Floria  ,1,75.0916873394172
Brenna  ,1,76.97897367372609
Ronna  ,2,55.5778364668492
Lawrence  ,1,96.16147890270508
Cristobal  ,1,5.665946732643279
Audra  ,1,47.553915045195296
Domenica  ,1,53.4061162022812
Lincoln  ,1,31.63616314198221
Georgeanna  ,1,86.34180290737645
Inez  ,1,53.43209605601997
Antonietta  ,2,137.38789598156706
Allen  ,1,74.5064002131142
Lyndsey  ,1,54.333214914828595
Leona  ,2,91.8311729691051
Meagan  ,1,26.208468158079146
Della  ,1,29.776684044775948
Felica  ,1,76.47015186417197
Cecila  ,1,37.33208414021646
Yuki  ,1,22.51665625907513
Lura  ,1,54.71626422646874
Ima  ,1,55.85815909185491
Setsuko  ,1,93.40096242314416
Concepcion  ,1,22.814109015529727
Odelia  ,1,84.95749124405174
Samatha  ,1,59.62794388698238
Jolanda  ,1,45.812688940919486
Nisha  ,1,71.42740399037412
Taren  ,1,50.411247063567146
Ernesto  ,2,98.88342077379905
Lavinia  ,1,45.26526576816921
Edwina  ,1,6.032845778651385
Tameika  ,1,26.34944498311492
Shela  ,1,22.492208674289593
Juanita  ,1,17.320989742268956
Catina  ,1,9.99513907494517
Seth  ,1,23.17879091478485
Ela  ,1,91.38889876784998
Jackelyn  ,1,16.546016673281226
Leandro  ,1,33.35211353137686
Rosanne  ,1,15.490969599050397
Roxane  ,1,56.52523652122904
Enrique  ,1,97.40956726769673
Chanda  ,1,49.08474504407364
Nelson  ,1,27.626678345158197
Maximo  ,2,130.9479235246721
Loreen  ,1,92.46358994918026
Garry  ,2,95.23091206543509
Hyun  ,1,99.4089678125409
Shelli  ,1,22.33183233987459
Katlyn  ,1,66.81732581526047
Brigida  ,1,1.6124196188273876
Justin  ,1,44.63985282001279
Quiana  ,1,44.60153489185862
Asa  ,1,63.78267886681397
Mee  ,1,38.74047654431201
Melodie  ,1,82.03113974934384
Jake  ,2,90.33087220884232
Richelle  ,2,77.87045229768717
Pok  ,1,87.7384059643304
Ailene  ,2,97.90269081260145
Eve  ,1,66.31295836063032
Elroy  ,1,4.050591399530146
Vivienne  ,1,34.63696649910547
Arden  ,2,98.38128860922131
Tarah  ,1,95.05646317397168
Fidel  ,2,84.87674919847538
Pasty  ,1,10.354989159110517
Jerold  ,1,74.15883732757302
Melodee  ,1,82.4408080419629
Mui  ,1,25.900319156320982
Coleen  ,1,66.8279827213436
Trevor  ,2,128.40561644893748
Corinna  ,1,88.25569443119713
Laquanda  ,1,93.82171597082818
Yaeko  ,1,31.004834835823313
Maire  ,1,54.61974791671287
Cherelle  ,2,121.854113644926
Rosendo  ,1,59.109244100929736
Yoko  ,1,79.75630201362208
Shani  ,2,17.06456288845748
Lyda  ,2,122.12099856623387
Gabriella  ,1,85.79978443536356
Norberto  ,1,77.00370438393101
Lajuana  ,1,99.08237439062036
Kathleen  ,1,41.12647654067203
Alejandrina  ,1,60.37725262412048
Chong  ,1,18.28988331110817
Stanley  ,1,35.42553257645646
Lorinda  ,1,24.448244713998836
Kyra  ,1,80.24721398564668
Marlena  ,1,49.03716039915976
Eboni  ,1,88.47639299503706
Delpha  ,1,67.19684852541799
Hilaria  ,2,120.55060823013812
Marylynn  ,1,25.087649717252635
Sunny  ,1,56.67172409611094
Carisa  ,2,96.86200418244876
Donte  ,1,82.78616813750752
Floyd  ,1,99.19707464602484
Dorthea  ,1,39.84384297819018
Nicole  ,1,25.430921397856576
Nichol  ,1,67.97274060877325
Michaela  ,1,35.22824208638661
Bobbie  ,1,43.339975878269996
Kristi  ,1,17.642136779034402
Chi  ,1,70.1427407026167
Ying  ,1,73.12834736805762
Hipolito  ,1,99.75709451362577
Elayne  ,1,32.372246021810845
Cari  ,1,99.80363085936668
Ernestine  ,1,65.41733252347434
Candy  ,1,54.35757870700603
Jannette  ,1,12.99197286366357
Amiee  ,1,70.59000235348525
Selena  ,1,87.70791336524356
Marceline  ,1,35.691761880508764
Betsey  ,1,72.16813580521324
Phyliss  ,1,46.0901236531126
Earl  ,1,92.89459815303886
Anisa  ,1,38.758282142031696
Sharyl  ,1,36.66289523599073
Joycelyn  ,2,80.38398925074752
Latoria  ,1,19.723758956747307
Margit  ,1,89.22600333989101
Shalanda  ,1,84.39576276128388
Shondra  ,2,65.17563657228757
Ellena  ,1,11.83592660424626
Tenesha  ,2,68.7956867985561
Tanisha  ,1,35.960454765715276
Donita  ,1,63.21415279766241
Silvana  ,1,27.28626224000331
Anjelica  ,1,27.9358352994885
Jaime  ,1,80.06060046126916
Maryland  ,1,86.00074852373419
Tomas  ,1,59.21434607421947
Noble  ,1,97.12035447352736
Caroll  ,1,8.664723005703967
Clarisa  ,1,5.297059518085156
Diego  ,1,61.19308463629562
Gregg  ,1,63.37401840891667
Santana  ,1,3.2060658297813016
Delmy  ,1,17.92302643970349
Chris  ,2,118.34701842184077
Suzann  ,1,96.48898435362906
Enedina  ,1,80.26188856554732
Roland  ,1,99.91761010374586
Angila  ,1,29.455471578368442
Alba  ,1,92.85700110098516
Linn  ,2,142.70584639692908
Rufus  ,1,43.94280988298834
Sherill  ,2,95.32696606298886
Faith  ,1,39.82107333045411
Elisa  ,1,23.31741228103462
Clarita  ,2,65.11142044930949
Debra  ,1,20.099618059984248
Jazmin  ,1,52.20864483116364
Clair  ,2,118.10860668102896
Elma  ,1,15.252260237932747
Shu  ,1,71.82123571878518
Youlanda  ,1,20.199426650974296
Charise  ,1,46.83923786997104
Margurite  ,1,54.67685251932506
Hanh  ,1,7.75824581534994
Marybeth  ,1,67.96978579266238
Garfield  ,1,99.2637164086685
Shasta  ,2,48.34727069222451
Pinkie  ,1,31.034550343807698
Ashley  ,1,96.6450203250176
Jerald  ,1,86.47548423068233
Una  ,1,7.425748514450936
Eura  ,1,0.8707108250093687
Leora  ,2,106.72035008358486
Lexie  ,2,111.16534130122649
Sophie  ,1,12.89406902362542
Thu  ,1,17.216153137919378
Kyle  ,2,110.5571815770324
Otto  ,2,111.19299510791971
Celeste  ,1,6.6208424105363655
Delsie  ,1,9.285606844394811
Cinderella  ,1,30.291112067288182
Mamie  ,1,68.92395860138248
isha  ,1,95.51090068110514
Jules  ,1,58.10199065589997
Ferdinand  ,1,70.37000202612771
Roosevelt  ,1,61.508515951341934
Quintin  ,1,2.3107996022888155
Perry  ,1,44.45748094940747
Mitch  ,1,99.74877349881227
Shane  ,1,32.77509753376386
Tomi  ,2,72.39662516482815
Evie  ,1,95.82550734271027
Tamie  ,1,9.790044473446446
Alayna  ,1,31.43276987981971
Eloisa  ,1,62.1567923717089
Malisa  ,1,49.29430942134434
Billy  ,1,2.0419519890364946
Amberly  ,1,17.552908071221818
Roseline  ,1,78.64443629187487
Marjorie  ,1,60.215778126388706
